CMDLINE C:\Users\MuhametovRD\AppData\Local\anaconda3\envs\tf3\python.exe main.py
MEM 2.089844 1696846530.5571
MEM 27.035156 1696846530.6703
MEM 41.367188 1696846530.7817
MEM 92.164062 1696846530.8939
MEM 121.203125 1696846531.0050
MEM 142.406250 1696846531.1150
MEM 153.003906 1696846531.2272
MEM 165.585938 1696846531.3383
MEM 183.753906 1696846531.4504
MEM 196.242188 1696846531.5594
MEM 201.515625 1696846531.6704
MEM 218.296875 1696846531.7806
MEM 223.636719 1696846531.8926
MEM 229.812500 1696846532.0047
MEM 242.605469 1696846532.1158
MEM 255.605469 1696846532.2278
MEM 267.195312 1696846532.3380
MEM 284.585938 1696846532.4501
MEM 296.652344 1696846532.5621
MEM 306.992188 1696846532.6723
MEM 315.460938 1696846532.7845
MEM 363.734375 1696846532.8956
MEM 440.460938 1696846533.0076
MEM 481.054688 1696846533.1187
MEM 498.007812 1696846533.2308
MEM 514.832031 1696846533.3428
MEM 532.773438 1696846533.4538
MEM 550.089844 1696846533.5659
MEM 574.226562 1696846533.6774
MEM 720.269531 1696846533.7895
MEM 871.351562 1696846533.9017
MEM 1010.210938 1696846534.0138
MEM 1058.605469 1696846534.1258
MEM 1066.515625 1696846534.2369
MEM 1069.890625 1696846534.3491
MEM 1078.789062 1696846534.4611
MEM 1087.773438 1696846534.5727
MEM 1097.054688 1696846534.6807
MEM 1107.859375 1696846534.7918
MEM 1113.875000 1696846534.9039
MEM 1122.714844 1696846535.0149
MEM 1131.117188 1696846535.1270
MEM 1147.421875 1696846535.2361
MEM 1149.796875 1696846535.3483
MEM 1153.363281 1696846535.4600
MEM 1160.726562 1696846535.5720
MEM 1167.386719 1696846535.6841
MEM 1185.308594 1696846535.7951
MEM 1186.742188 1696846535.9061
MEM 1194.816406 1696846536.0183
MEM 1203.527344 1696846536.1284
MEM 1216.589844 1696846536.2395
MEM 1222.867188 1696846536.3508
MEM 1232.132812 1696846536.4628
MEM 1239.566406 1696846536.5749
MEM 1246.066406 1696846536.6859
MEM 1246.593750 1696846536.7980
